Country,Product,1995_Jan,1995_Feb,1995 Mar,1995 Apr,1995 May,1995 Jun,1995 Jul,1995 Aug,1995 Sep,1995 Oct,1995 Nov,1995 Dec,1996 Jan,1996 Feb,1996 Mar,1996 Apr,1996 May,1996 June,1996 July,1996 Aug,1996 Sept,1996 Oct,1996 Nov,1996 Dec,1997 Jan,1997 Feb,1997 Mar,1997 Apr,1997 May,1997 Jun,1997 Jul,1997 Aug,1997 Sep,1997 Oct,1997 Nov,1997 Dec,1998 Jan,1998 Feb,1998 Mar,1998 Apr,1998 May,1998 Jun,1998 Jul,1998 Aug,1998 Sep,1998 Oct,1998 Nov,1998 Dec,1999 Jan,1999 Feb,1999 Mar,1999 Apr,1999 May,1999 June,1999 July,1999 Aug,1999 Sept,1999 Oct,1999 Nov,1999 Dec,2000 Jan,2000 Feb,2000 Mar,2000 Apr,2000 May,2000 June,2000 July,2000 Aug,2000 Sept,2000 Oct,2000 Nov,2000 Dec,2001 Jan,2001 Feb,2001 Mar,2001 Apr,2001 May,2001 June,2001 July,2001 Aug,2001 Sept,2001 Oct,2001 Nov,2001 Dec,2002 Jan,2002 Feb,2002 Mar,2002 Apr,2002 May,2002 June,2002 July,2002 Aug,2002 Sept,2002 Oct,2002 Nov,2002 Dec,2003 Jan,2003 Feb,2003 Mar,2003 Apr,2003 May,2003 June,2003 July,2003 Aug,2003 Sept,2003 Oct,2003 Nov,2003 Dec,2004 Jan,2004 Feb,2004 Mar,2004 Apr,2004 May,2004 June,2004 July,2004 Aug,2004 Sept,2004 Oct,2004 Nov,2004 Dec,2005 Jan,2005 Feb,2005 Mar,2005 Apr,2005 May,2005 June,2005 July,2005 Aug,2005 Sept,2005 Oct,2005 Nov,2005 Dec,2006 Jan,2006 Feb,2006 Mar,2006 Apr,2006 May,2006 June,2006 July,2006 Aug,2006 Sept,2006 Oct,2006 Nov,2006 Dec,2007 Jan,2007 Feb,2007 Mar,2007 Apr,2007 May,2007 June,2007 July,2007 Aug,2007 Sept,2007 Oct,2007 Nov,2007 Dec,2008 Jan,2008 Feb,2008 Mar,2008 Apr,2008 May,2008 June,2008 July,2008 Aug,2008 Sept,2008 Oct,2008 Nov,2008 Dec,2009 Jan,2009 Feb,2009 Mar,2009 Apr,2009 May,2009 June,2009 July,2009 Aug,2009 Sept,2009 Oct,2009 Nov,2009 Dec,2010 Jan,2010 Feb,2010 Mar,2010 Apr,2010 May,2010 June,2010 July,2010 Aug,2010 Sept,2010 Oct,2010 Nov,2010 Dec,2011 Jan,2011 Feb,2011 Mar,2011 Apr,2011 May,2011 June,2011 July,2011 Aug,2011 Sept,2011 Oct,2011 Nov,2011 Dec,2012 Jan,2012 Feb,2012 Mar,2012 Apr,2012 May,2012 June,2012 July,2012 Aug,2012 Sept,2012 Oct,2012 Nov,2012 Dec,2013 Jan,2013 Feb,2013 Mar,2013 Apr,2013 May,2013 June,2013 July,2013 Aug,2013 Sept,2013 Oct,2013 Nov,2013 Dec,2014 Jan,2014 Feb,2014 Mar,2014 Apr,2014 May,2014 June,2014 July,2014 Aug,2014 Sept,2014 Oct,2014 Nov,2014 Dec,2015 Jan,2015 Feb,2015 Mar,2015 Apr,2015 May,2015 June,2015 July,2015 Aug,2015 Sept,2015 Oct,2015 Nov,2015 Dec,2016 Jan,2016 Feb,2016 Mar,2016 Apr,2016 May,2016 Jun,2016 Jul,2016 Aug,2016 Sep,2016 Oct,2016 Nov,2016 Dec,2017 Jan,2017 Feb,2017 Mar,2017 Apr,2017 May,2017 Jun,2017 Jul,2017 Aug,2017 Sep,2017 Oct,2017 Nov,2017 Dec,2018 Jan,2018 Feb,2018 Mar,2018 Apr,2018 May,2018 Jun,2018 Jul,2018 Aug,2018 Sep,2018 Oct,2018 Nov,2018 Dec
Brazil,Primary,48200,43900,51800,53700,53600,41400,33000,24300,37500,44700,17400,50900,33300,22300,61500,32900,47200,46100,35100,53200,30900,30700,75600,28400,22800,52600,47700,15600,55400,54412,32100,34500,24700,50571,42778,46100,51183,17758,52900,41600,40600,43200,52200,58600,44200,50800,44600,23600,29800,29800,29800,42600,43100,33300,29100,51300,52100,16100,60100,45900,49019,35408,34228,39453,45930,44228,70501,30029,27474,80644,14694,42167,52552,44867,31570,66800,52042,40355,56598,24974,38570,40543,56148,47788,41302,58299,67836,53624,34447,42939,32475,34187,49882,57722,43644,61535,36132,36814,81543,52075,62070,24339,38948,31274,48898,54392,45712,76362,54625,30014,48466,38420,50999,76125,29849,95032,40890,77105,57099,52378,61360,59588,76283,61406,59131,60741,78133,73895,48500,62045,60214,57979,38179,61277,65842,67740,77546,74378,67086,38833,49532,79129,66213,87612,62074,59109,81000,65386,64300,93129,59396,70210,70765,77624,71499,79440,71824,70586,91347,79991,60574,81300,90801,79083,67225,82126,99197,57579,48659,42967,60190,32324,100789,54243,64145,84786,81958,71576,71627,85651,108599,41607,69649,99532,77021,74388,92518,72004,96866,78252,82510,92163,107022,87397,86282,77088,104066,92732,72301,80156,84417,120415,66281,98954,89404,59681,94692,86093,104232,73466,89837,82056,82271,88369,83032,88243,66486,86731,76353,72745,75607,75538,92476,92253,74680,103094,99021,73261,104612,87015,89499,95657,95917,78322,81564,65420,95648,74487,72031,86739,84755,54079,87164,55617,80860,68914,68030,69485,46860,68092,58255,59069,59570,60877,67209,74925,48005,61948,68289,58523,69746,67938,63283,63838,77813,59915,85293,77970,74000,62900,77600,69789,74637,59016,75348,73306,66200,66300,96600,,,,,,,,,
Canada,Primary,50990,50990,50990,50990,50990,50990,50990,50990,51000,50990,50990,51000,51675,51675,51675,51675,51675,51675,51675,51675,51675,51675,51675,51675,47457,47458,47458,47457,47458,47458,47458,47458,47458,49337,56427,60440,61989,46323,59881,63539,50798,58157,57331,60998,61341,61176,56173,74784,67758,42676,76818,71611,68630,58301,67667,56243,54257,61883,67295,82771,64952,61699,73870,68911,77362,62849,62528,78022,74187,62096,45985,69748,53668,39841,56093,65650,77202,85366,52905,69936,37595,75148,57130,67393,70648,57053,64724,51954,62470,79573,68384,64956,54091,70765,70703,57853,76175,53005,50949,74791,82801,52245,60878,71574,45020,54150,62252,51904,82585,51323,53737,56491,58952,57227,68945,73142,48492,77464,61882,70235,73199,56358,76098,75910,86973,36512,84801,49716,30673,78706,86207,67963,77157,73632,83700,61213,62498,75161,73584,74432,79173,64913,78572,49805,59253,47413,50616,38075,65846,32194,53417,63857,32278,61043,42777,50043,58934,41971,52319,48966,48558,37981,46704,54419,45991,52112,46524,67053,24441,32239,22282,52218,65891,51733,69848,69848,69848,69848,69848,69850,33049,47421,38416,31919,64912,45857,49602,57367,66023,61065,26561,49713,69693,35966,59187,53510,48483,49775,31051,48185,51071,41052,73592,77100,25947,25947,25948,34539,45177,35674,55183,55183,55183,40539,51609,51608,46013,43245,37234,43562,22750,52868,22968,22968,22968,43964,67033,48399,47855,47855,47855,37007,37007,37007,49096,49096,49099,38844,45097,45096,63893,53299,53708,39730,42843,22517,25414,62977,53627,34888,52556,35911,46766,46766,53195,71948,38818,53375,45812,57072,45684,48637,27903,48294,24882,37110,21528,22700,22500,22980,28500,66373,38048,33735,35000,35000,42430,42446,,,,,,,,,,
Chile,Primary,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1307,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1164,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1294,1295,732,733,732,733,732,733,732,733,732,733,732,733,933,933,934,933,933,934,933,933,934,933,933,934,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1223,1209,1209,1209,1209,1209,1210,1209,1209,1209,1209,1209,1210,1482,1482,1482,1482,1482,1482,1482,1482,1482,1482,1482,1482,1358,1340,1187,1204,1839,1556,1814,1602,1421,644,1118,1100,1891,991,1540,380,2506,2124,1422,1741,928,2131,1696,1692,977,1355,1823,1920,2788,1264,1546,875,2118,1509,1026,1738,945,1771,1323,1417,2030,2762,1803,1569,1690,2572,1862,1445,845,1595,940,1372,914,2073,1795,1753,1613,1610,1247,1156,1339,1319,914,1260,1483,1289,1105,1311,1256,281,2840,1463,1037,623,0,359,852,28,1370,1260,1268,544,1316,1103,1022,1022,1023,707,706,707,897,953,897,918,1422,1294,751,960,1366,1150,2044,1589,1716,1485,565,755,593,309,273,1271,1302,506,1894,284,859,849,415,427,428,427,501,124,762,801,420,380,381,380,516,300,440,223,122,122,123,122,122,123,122,122,123,122,122,123,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,,,,,,,,,,
Colombia,Primary,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2939,2939,2939,2939,2939,2939,2939,2939,2939,2939,2939,2939,3564,3564,3564,3564,3564,3564,3564,3564,3564,3564,3564,3564,3027,3027,3027,3027,3027,3027,3027,3027,3027,3027,3027,3030,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282,2283,2653,2653,2653,2653,2653,2653,2653,2653,2653,2653,2653,2661,2497,2498,2498,2497,2498,2498,2497,2498,2498,2498,2498,2498,1941,3676,1837,4229,2267,2976,3509,2326,3530,3467,2954,3163,2833,2834,2833,2833,2834,2833,2833,2834,2833,2833,3834,2833,3538,3538,3538,3538,3538,3538,3538,3538,3538,3538,3538,3541,2610,4177,6094,2375,3973,4292,4349,4799,4830,4242,4242,4243,4825,4825,4820,4825,4825,4830,4825,4825,4820,4830,4825,4825,4739,4737,4734,4731,4734,4735,4731,4735,4734,4739,4734,4737,3604,3608,3608,3608,3604,3608,3608,3604,3608,3607,3604,3609,2978,2976,2976,2977,2977,2976,2978,2976,2976,2970,2979,2981,2215,2836,4638,2122,3762,3688,3682,3745,3508,3175,3691,3160,1136,1854,2370,808,3152,2461,2126,2304,2068,1932,2470,405,2300,1591,1647,2255,2092,2274,1598,2788,1780,1492,1490,1494,2621,1805,2754,3119,2136,2109,2203,2282,2973,2622,5076,2897,4655,2990,2859,5837,4454,3787,3644,3268,4330,2583,3399,3758,3602,4887,5406,3268,4436,4111,3392,3658,4557,5473,4015,4179,2285,3311,3339,3145,3032,1814,1332,2062,2773,1822,2441,2112,2508,1661,1727,1995,1778,2475,2172,2721,2697,2707,2852,1744,2500,2500,,,,,,,,,,
Cuba,Primary,83,83,84,83,83,84,83,83,84,83,83,84,83,83,84,83,83,84,83,83,84,83,83,84,83,83,84,83,83,84,83,83,84,83,83,84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,140,140,140,140,140,140,140,140,140,140,140,140,165,165,165,165,165,165,165,165,165,165,165,165,225,225,225,225,225,225,225,225,225,225,225,225,252,252,253,252,252,253,252,252,252,252,253,253,168,169,169,168,169,169,168,169,169,169,169,169,231,231,231,231,231,232,231,231,231,232,231,231,201,201,201,201,201,201,201,180,150,150,130,130,172,172,172,172,172,172,172,172,172,172,175,172,126,126,124,126,126,126,124,126,126,126,126,126,134,134,134,132,134,134,134,132,134,134,134,132,208,208,209,208,208,209,208,209,208,209,208,208,206,206,205,206,206,205,206,206,205,206,206,205,125,125,125,125,125,125,125,125,125,125,125,125,559,559,558,560,560,560,199,199,200,362,426,600,299,621,201,525,0,13,485,0,0,0,0,0,1192,795,4,209,0,55,62,0,0,50,50,46,100,100,,,,,,,,,,
Mexico,Primary,3316,3317,3317,3316,3317,3317,3316,3317,3317,3316,3317,3317,7775,7775,7775,7775,7775,7775,7775,7775,7775,7775,7775,7775,6941,6942,6942,6941,6942,6942,6941,6942,6942,6941,6942,6942,7662,7662,7663,7662,7662,7663,7662,7662,7663,7662,7662,7663,7288,7288,7288,7288,7287,7288,7288,7288,7288,7288,7287,7288,7288,7288,7288,7288,7287,7288,7288,7288,7288,7288,7287,7288,9426,9426,9426,9426,9426,9427,9426,9426,9427,9426,9426,9427,9426,9426,9426,9426,9426,9427,9426,9426,9427,9426,9426,9427,9426,9426,9426,9426,9426,9427,9426,9426,9427,9426,9426,9427,8726,8875,12833,8261,10762,9495,11194,10271,10380,12642,13163,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13200,13402,12598,13705,14237,12649,12236,14998,17955,14196,15030,13626,9028,7436,6522,8555,11786,9965,11088,10606,12751,8892,13782,11208,11682,11440,12250,10693,12770,10439,10711,11154,11406,12117,11191,9977,10016,10500,11400,10500,10400,10208,10417,12000,11400,11400,11600,11200,9500,11800,11500,12800,13000,13000,13000,13200,12200,12200,10500,11500,11000,10000,11000,11200,12300,12200,12800,12100,13300,13900,13900,14400,13900,10800,10100,11000,10200,10800,10700,13200,12000,11500,12500,12200,12100,12400,11800,11900,12100,12000,11800,13100,12300,12100,12800,11800,10500,16663,14996,25449,23681,13408,13563,10828,13669,13050,16360,17828,32130,15600,13800,14800,15000,16500,16400,15700,15400,15100,15800,14900,14900,15000,15000,16000,17000,16500,18000,18000,18200,17000,19000,19000,19000,21000,17900,19900,17600,19500,19000,18900,20000,18500,20000,18900,17900,16300,16300,,,,,,,,,,
U.S.A.,Primary,409100,374100,523600,452500,420900,441000,387700,403400,383600,497600,376500,384800,441665,441665,441665,441665,441665,441665,441675,441665,441665,441665,441675,441665,433483,396640,519572,456502,507971,408064,470617,439855,408622,441321,390924,469725,491847,479538,470057,508646,480822,524034,441507,510738,505717,476586,463587,460489,509996,446057,648836,610236,530509,551753,497895,494335,457527,508457,464479,462949,557041,519354,497848,542355,602632,556255,566201,495831,476113,464348,453554,429815,445915,406987,480090,398572,441603,436674,419270,448831,467500,432917,422182,429305,444291,419201,423697,462331,471664,489483,455742,516258,459952,412617,499987,449485,442400,465800,589400,432000,495400,522000,485300,426400,481300,447200,439900,440000,440340,506548,484461,475475,470321,512573,480000,450000,500000,485000,460000,485000,495352,496920,458073,568199,557168,530394,476721,464345,522205,515000,515000,515000,530000,530000,530000,530000,530000,530000,500000,500000,500000,490000,490000,490000,454000,449000,460000,476600,406600,396900,440600,473400,570200,371600,493500,552700,468500,411300,387000,453800,397500,511600,439100,405100,370400,426000,315600,319800,367772,248309,375480,221791,374026,282016,424060,329403,314628,315422,299377,301902,298797,322374,349600,406894,294023,522263,357748,276203,397939,370338,337859,308449,310570,289255,327860,271456,351739,492601,458004,514924,371920,213089,257069,201512,362690,362725,441173,399016,494338,498780,391415,412179,222584,473458,365941,450770,403679,383101,392219,505011,502170,257127,405907,454262,377237,377303,206615,367439,352485,324320,465227,458553,460113,474356,431376,472920,431281,440127,471874,467420,403247,399359,477117,532297,471342,520359,438587,427506,396702,410260,429356,418828,473071,330456,496686,451916,404901,459585,428940,379789,423541,362385,453426,456091,473071,522822,525322,498958,456475,468559,467117,419039,428570,422331,409869,522625,473071,387250,,,,,,,,,,
Uruguay,Primary,179,179,180,179,179,180,179,179,180,179,179,180,184,184,184,184,184,184,184,184,184,184,184,184,279,279,279,279,279,279,279,279,279,279,279,279,269,269,269,269,269,269,269,269,269,269,269,269,221,221,221,221,221,221,221,221,221,221,221,221,262,262,262,262,262,262,262,262,262,262,262,262,162,162,162,162,162,162,162,162,162,162,162,162,52,52,52,52,52,52,52,52,52,52,52,52,235,235,235,235,235,235,235,235,235,235,235,235,338,338,338,338,338,338,338,338,338,338,338,338,343,343,343,343,343,343,343,343,343,343,343,343,240,158,264,106,282,210,401,426,264,371,373,295,322,268,294,257,295,338,316,425,212,397,312,212,234,234,234,234,234,234,234,234,234,234,234,233,182,182,182,182,182,182,181,182,182,180,182,182,240,240,240,240,240,240,240,240,240,240,240,239,440,439,439,439,440,439,440,439,439,440,439,439,302,200,374,324,199,301,151,380,349,348,418,257,229,347,302,346,322,266,236,445,175,384,318,325,410,204,195,296,102,475,149,457,140,299,264,288,308,360,148,319,201,126,76,264,126,70,75,176,150,103,172,197,189,198,247,315,147,120,243,193,189,193,168,170,314,219,362,456,436,314,335,262,144,424,171,,,,,,,,,
Venezuela,Primary,15250,15250,15250,15250,15250,15250,15250,15250,15250,15250,15250,15250,14700,14800,18400,35000,19000,14300,16100,14900,12200,15600,17600,14300,13900,14300,16100,16900,17700,17700,17900,16600,15900,16200,14700,15500,15684,16365,17397,18711,17188,18619,13839,9015,11181,15937,13752,12012,7228,11345,12237,13365,10460,11157,9255,8273,10907,9830,11782,5932,12073,12411,13342,10256,13317,14423,13321,14879,12606,9052,12133,8347,7886,10257,14238,12724,16501,16091,15543,15859,15634,14253,14327,11433,13422,13422,13422,11018,11018,11018,16038,16039,16039,17217,17217,17217,15407,15408,15408,15408,15408,15408,17802,18247,15200,12550,12550,12550,16394,16519,19552,15984,15511,18213,18146,16337,16324,18807,17468,18553,16759,15626,19648,13844,15637,14172,16344,13778,14464,13056,15401,10206,11369,13280,14388,11644,15756,9261,12824,13535,14367,16456,15510,11487,12217,13870,18268,12696,17247,15078,18274,21938,20615,24630,22732,27769,28286,31391,25651,26913,22914,24982,28712,21202,24563,23210,22891,24091,27498,33004,41416,27664,31770,24601,26402,30163,29614,32805,27777,25255,14014,11313,15937,14957,14153,14020,16264,17640,17832,16391,19493,19447,11195,22100,25219,15110,17437,22386,16196,16744,17400,20680,13650,45707,14547,18893,16527,11349,17738,15551,15135,15744,13040,14320,25759,11490,16045,6052,14081,14860,16279,21585,17686,21683,11156,24760,14294,8134,9876,11460,8627,12865,12463,5550,8327,7943,8824,7456,6534,4917,5103,7509,7349,7219,7045,6880,6107,5915,6445,5323,7238,7844,7142,7928,5916,7814,8102,7063,6971,5717,7021,6910,6927,5212,6778,5455,4949,12732,14999,14813,12287,3649,10276,7117,6629,6852,4199,4867,,,,,,,,,,
Other America,Primary,2523,2523,2523,2523,2523,2523,2523,2523,2523,2523,2523,2529,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2408,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2831,2832,2286,2286,2286,2286,2286,2286,2286,2286,2286,2286,2286,2297,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2032,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,3250,2618,3251,3252,3252,3252,3252,3252,3252,3252,3252,3252,3252,3252,3633,3633,3634,3633,3633,3634,3633,3633,3634,3633,3633,3634,3916,3917,3917,3916,3917,3917,3916,3917,3917,3916,3917,3917,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4470,4531,4531,4531,4531,4531,4531,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,5516,5517,5516,5517,5516,5517,5517,5516,5517,5517,5516,5516,5516,5516,5517,5517,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5517,5517,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,5516,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,,,,,,,,,,
America Total,Primary,540620,501321,658723,589520,557821,565724,504020,511021,504433,625620,477221,519043,563079,552179,594980,582979,581279,575480,566289,583179,558180,561379,608289,557794,540532,533891,653724,559351,651422,550528,590967,561306,519574,580321,527722,614661,644447,579892,625279,655797,612840,666595,590947,663053,645662,627955,601260,590518,635009,552334,788466,758788,672482,672076,624498,630458,595935,616311,623778,614190,704338,648092,640205,681259,760440,699952,734683,641805,610587,636669,548905,574677,577164,522329,604605,564106,608291,599273,563228,581498,578791,587363,574079,577922,591187,571234,591101,602739,601449,645575,594450,652068,601799,580090,652807,607558,592814,594029,760594,599450,680491,644690,631191,572442,617748,590345,587773,601573,622375,630703,639525,610482,628676,692531,627059,666521,635810,692992,630144,659446,675152,654177,667961,748645,756443,671910,695844,632506,653374,703589,716333,683882,692760,709654,732600,702494,723725,719822,693325,667583,681466,691768,689670,671207,616287,599932,641393,629047,586743,572984,606583,666516,726757,572874,665456,745186,664593,592438,589138,643185,559349,685290,641215,594689,542874,614200,516286,499263,497983,385467,528380,363843,603019,443555,619744,549255,533035,525535,503720,515334,488447,454466,511832,589146,487882,694475,553512,458941,614037,560132,502590,504611,527387,464316,531291,449449,556943,692146,611234,695984,560128,429946,445859,453528,521180,493874,608492,558605,692782,652628,583606,598562,402807,648254,556888,630304,562772,547188,551039,668946,649080,437334,571452,623790,519605,583156,421942,525815,550289,504329,654959,648579,637987,627436,599499,626325,617892,596956,632760,654078,592477,550002,659464,669202,639877,656107,574288,603820,541037,558769,586003,557405,617414,477022,655421,640453,532314,613673,583107,533922,578193,520070,586589,607004,619271,657507,671054,644514,602693,603935,620008,596677,588532,560280,563097,670857,616858,530599,,,,,,,,,,
Bahrain,Primary,12860,12860,12860,12860,12860,12860,12860,12860,12860,12860,12860,12866,13068,13068,13068,13068,13068,13068,13068,13068,13068,13068,13068,13075,15922,15922,15922,15922,15922,15922,15922,15922,15922,15922,15922,15925,16688,16688,16688,16688,16688,16688,16688,16688,16688,16688,16688,16698,19621,19621,19621,19621,19621,19621,19621,19621,15864,15864,15865,20851,20199,20199,20199,20199,20199,18699,22997,22913,18680,18372,18432,18162,24097,21879,21879,19586,19538,21876,23261,23261,23261,20783,20784,20784,21412,19458,21494,20868,20704,21341,21225,20207,20444,21385,20621,20607,19931,18599,20449,20140,20141,19715,21952,21896,21045,21802,21356,18964,29450,29450,29450,29450,29450,29450,29450,29450,29450,29450,29450,29412,29600,29400,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,29600,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,26900,29160,29170,29170,29170,29170,29170,29160,29160,29170,29170,29170,29160,33330,33330,33330,33330,33330,33330,33330,33330,33330,33330,33330,33370,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,37500,,,,,,,,,
Bangladesh,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Primary,117106,125102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,Primary,3500,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Primary,48417,48416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,Primary,12308,12308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,Primary,9617,9617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Primary,3333,3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Primary,186817,214484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
